camera_id,camera_model,camera_sensitivity_raw,camera_operating_temperature_raw,camera_data_transfer_interface,camera_case_type,camera_resolution_raw,camera_lens_type,camera_IR_illumination,camera_compression_codec,camera_memory_card_support,camera_audio_inputs_outputs,camera_alarm_inputs_outputs,camera_SATA_quantity_capacity,camera_independent_video_outputs,camera_data_transfer_rate,camera_lightning_protection,camera_power_raw,camera_power_supply_raw,camera_comment,camera_sensitivity_day_x10000,camera_operating_temperature_min,camera_operating_temperature_max,camera_resolution,camera_power_x10,camera_power_supply_poe
56,LTV-3CND20-F28-D,"0.003 к (ц, F1.6, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Outdoor dome,2 Mp,FIX 2.8,30,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD,"встроенный микрофон, 1 / 1",1/1,-,-,1x100  Мб/с,False,"9,1 Вт",12В (DC) / PoE (IEEE 802.3af),Сертификат 969,30,-40,60,2,91,True
57,LTV-3CND20-F40-D,"0.003 к (ц, F1.6, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Outdoor dome,2 Mp,FIX 4.0,30,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD,"встроенный микрофон, 1 / 1",1/1,-,-,1x100  Мб/с,False,"9,1 Вт",12В (DC) / PoE (IEEE 802.3af),Сертификат 969,30,-40,60,2,91,True
58,LTV-3CND40-F28-D,"0.002 к (ц, F1.6, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Outdoor dome,4 Mp,FIX 2.8,30,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD,"встроенный микрофон, 1 / 1",1/1,-,-,1x100  Мб/с,False,"9,1 Вт",12В (DC) / PoE (IEEE 802.3af),Сертификат 969,20,-40,60,4,91,True
59,LTV-3CND40-F40-D,"0.002 к (ц, F1.6, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Outdoor dome,4 Mp,FIX 4.0,30,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD,"встроенный микрофон, 1 / 1",1/1,-,-,1x100  Мб/с,False,"9,1 Вт",12В (DC) / PoE (IEEE 802.3af),Сертификат 969,20,-40,60,4,91,True
60,LTV-3CND40-F28,"0.003 к (ц, F1.6, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Outdoor dome,4 Mp,FIX 2.8,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,1/1,1/1,-,-,1x100  Мб/с,False,5 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,30,-50,60,4,50,True
61,LTV-3CND40-F40,"0.003 к (ц, F1.6, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Outdoor dome,4 Mp,FIX 4.0,30,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,1/1,1/1,-,-,1x100  Мб/с,False,4.5 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,30,-50,60,4,45,True
62,LTV-3CND40-M2713,"0.002 к (ц, F1.2, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Outdoor dome,4 Mp,MTZ 2.7-13.5,40,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,"встроенный микрофон, 1 / 1",1/1,-,-,1x100  Мб/с,False,7 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,20,-50,60,4,70,True
63,LTV-3CND50-F28,"0.002 к (ц, F1.6, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Outdoor dome,5 Mp,FIX 2.8,40,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,"встроенный микрофон, – / –",-,-,-,1x100  Мб/с,True,5 Вт,"12 В (DC) ±25 %, PoE(IEEE802.3af);",Сертификат 969,20,-50,60,5,50,True
64,LTV-3CND50-F40,"0.002 к (ц, F1.6, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Outdoor dome,5 Mp,FIX 4.0,40,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,"встроенный микрофон, – / –",-,-,-,1x100  Мб/с,True,5 Вт,"12 В (DC) ±25 %, PoE(IEEE802.3af);",Сертификат 969,20,-50,60,5,50,True
65,LTV-3CND50-M2713,"0.002 к (ц, F1.2, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Outdoor dome,5 Mp,MTZ 2.7-13.5,50,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,1/1,1/1,-,-,1x100  Мб/с,True,8 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,20,-50,60,5,80,True
